state,cycle,mean_carbon,gross_growth,rel_growth_rate
GA,1,35214.1654015436,428.787671918034,0.012176567782556
GA,2,39101.5493423676,435.347761495418,0.0111337726718595
GA,3,42262.87215467,433.588879519072,0.0102593330129637
GA,4,44623.5235919985,420.008156854403,0.00941225889498594
GA,5,46203.4023456258,403.023510142396,0.0087228102192035
GA,6,47311.6277733809,385.796651634273,0.00815437282103692
GA,7,47793.5167171927,371.212993208234,0.00776701566877371
GA,8,48046.9272053857,358.402461040544,0.00745942523043116
GA,9,48075.771847983,348.154517124199,0.00724178736485134
GA,10,47731.6769070316,339.798538140252,0.00711893149704519
GA,11,47003.5413697838,333.811121471403,0.00710182917591807
GA,12,46052.1620113272,329.345978338053,0.00715158559237773
GA,13,44936.3815374444,326.060287534906,0.00725604235096695
GA,14,43824.7684463359,323.730577420433,0.0073869318400814
GA,15,42635.7479317978,321.945839622378,0.00755107756377064
ME,1,43845.6244090472,285.440475612973,0.00651012454401436
ME,2,45721.5986136487,291.778441222112,0.00638163253406042
ME,3,46786.8055955962,292.123835625096,0.00624372260312193
ME,4,46979.5906703348,288.321801405502,0.00613717142468766
ME,5,46322.096273654,281.378327402788,0.00607438674062824
ME,6,44952.8038234912,267.453877783028,0.00594965953254429
ME,7,43052.4388644791,252.848424648993,0.00587303370768174
ME,8,40915.2916789135,237.306262663291,0.00579994063162433
ME,9,38699.7356916303,221.635617072638,0.00572705764294333
ME,10,36497.9876471801,209.403654406481,0.00573740274205667
ME,11,34319.3761601114,194.599062853855,0.00567023893284031
ME,12,32141.4408436776,183.131680949306,0.00569768112885735
ME,13,30051.7022715312,172.290956182123,0.00573315130788244
ME,14,28125.9778124402,161.141759519662,0.00572928559477098
ME,15,26449.2789303739,149.916367675391,0.00566807012282023
MN,1,33650.2207034518,271.560005055831,0.00807008094981007
MN,2,34620.9383817281,278.269226479545,0.00803759919535882
MN,3,35262.4811579248,286.362241350098,0.00812087612518274
MN,4,35416.4016253425,291.508537588134,0.00823089089264063
MN,5,35219.969264749,294.561685063883,0.00836348501185957
MN,6,34654.2133777365,292.917028774265,0.00845256608717163
MN,7,33702.6641779776,290.459909875058,0.00861830709706486
MN,8,32526.1120522547,285.155319365176,0.00876696602738936
MN,9,31222.560368765,280.644941472746,0.00898853067006968
MN,10,29799.2628538293,274.979913640134,0.00922774214211135
MN,11,28329.8975674688,271.112094631486,0.00956982262240171
MN,12,26774.8144361363,267.183201759417,0.00997890022344343
MN,13,25245.0211917494,263.702379065852,0.0104457182690754
MN,14,23765.5069470495,260.201871568263,0.0109487195938216
MN,15,22375.2138019786,257.748323235153,0.0115193680612947
WA,1,62569.1059082604,743.862576331082,0.011888655999364
WA,2,63303.6463723731,705.797039808402,0.0111493899681018
WA,3,62836.7187733492,665.779381337855,0.0105953874475736
WA,4,61032.5836479335,618.910909483838,0.0101406637650149
WA,5,58428.9729722321,572.897203992741,0.00980501923703171
WA,6,55223.7931651822,524.465489753268,0.00949709282345957
WA,7,50474.7191207965,479.974423380612,0.00950920444414825
WA,8,46622.4458092722,448.072734479141,0.00961066556465447
WA,9,42707.1482084255,424.257955406444,0.00993412047406959
WA,10,39083.9686922093,401.28398948032,0.0102672272777741
WA,11,35737.8040072662,383.702158885856,0.0107365902730857
WA,12,32534.7385505098,369.747903428655,0.0113647110719708
WA,13,29626.5043711423,356.313106006515,0.012026835887989
WA,14,27161.0567017617,343.068563970683,0.0126308990013791
WA,15,25110.9584345048,332.891262458366,0.0132568122927933
