year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
1997,139700,,6403,747,372.2,48.7,,
1998,139800,,6403,1106,371.6,76,,
1999,139900,,6404,1874,372.8,141.6,,
2000,130000,,6404,2395,377.1,188.8,,
2001,130100,,6405,2838,378.1,227.4,,
2002,130200,,6405,3308,382.6,267.9,,
2003,130300,,6405,3760,381.6,305.2,,
2004,130400,1,6396,4207,386.9,344.6,396,51.5
2005,130500,,6391,3945,392,327,,
2006,130600,,6391,3704,397.1,310.1,,
2007,130700,,6389,3428,402,291.4,,
2008,130800,,6390,3167,407.4,276.3,,
2009,130900,2,6388,2622,411.6,235.8,204.1,-31.7
2010,131000,,6393,2323,415,209.6,,
2011,131100,,6396,1988,418.3,181.9,,
2012,131200,,6399,1665,422.2,153.4,,
2013,131300,,6400,1363,427.2,126.4,,
2014,131400,3,6628,1219,429,109.3,119.9,10.6
2015,131500,,6686,1133,431.9,101.4,,
2016,131600,,6686,1078,434.2,95.3,,
2017,131700,,6685,1011,441.3,91.1,,
2018,131800,,6685,939,446.4,84.9,,
2019,131900,4,6685,866,451.2,77.5,138.5,61
2020,132000,,6685,868,455.5,78.6,,
2021,132100,,6685,863,457.5,78.1,,
2022,132200,,6686,861,462.6,79.2,,
2023,132300,,6686,852,462.3,80.8,,
2024,132400,5,6686,842,465.7,79.5,162.7,83.2
